"driver_race","stop_date","stop_purpose","daily_num_stops","month","day","day_index","day_of_week","fri_sat","post_policy","dangerous_days","race","day_counter","dangerous_days2","date2","stop_purpose2"
"Black","2005-03-07","Violation Observed",229,"3",7,66,"Monday","Another day",0,"Other day","Black",65,NA,2005-03-07,"Violation Observed"
"Black","2005-03-08","Radar Triggered",122,"3",8,67,"Tuesday","Another day",0,"Other day","Black",66,NA,2005-03-08,"Radar Triggered"
"Black","2005-03-08","Violation Observed",158,"3",8,67,"Tuesday","Another day",0,"Other day","Black",66,NA,2005-03-08,"Violation Observed"
"Black","2005-03-09","Radar Triggered",129,"3",9,68,"Wednesday","Another day",0,"Other day","Black",67,NA,2005-03-09,"Radar Triggered"
"Black","2005-03-09","Violation Observed",250,"3",9,68,"Wednesday","Another day",0,"Other day","Black",67,NA,2005-03-09,"Violation Observed"
"Black","2005-03-10","Radar Triggered",105,"3",10,69,"Thursday","Another day",0,"Other day","Black",68,NA,2005-03-10,"Radar Triggered"
"Black","2005-03-10","Violation Observed",257,"3",10,69,"Thursday","Another day",0,"Other day","Black",68,NA,2005-03-10,"Violation Observed"
"Black","2005-03-11","Radar Triggered",184,"3",11,70,"Friday","Friday or Saturday",0,"Other day","Black",69,NA,2005-03-11,"Radar Triggered"
"Black","2005-03-11","Violation Observed",307,"3",11,70,"Friday","Friday or Saturday",0,"Other day","Black",69,NA,2005-03-11,"Violation Observed"
"Black","2005-03-12","Radar Triggered",237,"3",12,71,"Saturday","Friday or Saturday",0,"Other day","Black",70,NA,2005-03-12,"Radar Triggered"
"Black","2005-03-12","Violation Observed",368,"3",12,71,"Saturday","Friday or Saturday",0,"Other day","Black",70,NA,2005-03-12,"Violation Observed"
"Black","2005-03-13","Radar Triggered",170,"3",13,72,"Sunday","Another day",0,"Other day","Black",71,NA,2005-03-13,"Radar Triggered"
"Black","2005-03-13","Violation Observed",189,"3",13,72,"Sunday","Another day",0,"Other day","Black",71,NA,2005-03-13,"Violation Observed"
"Black","2005-03-14","Radar Triggered",143,"3",14,73,"Monday","Another day",0,"Other day","Black",72,NA,2005-03-14,"Radar Triggered"
"Black","2005-03-14","Violation Observed",183,"3",14,73,"Monday","Another day",0,"Other day","Black",72,NA,2005-03-14,"Violation Observed"
